Shelf ID,Book ID,Book Name,Author,Category
R-1-7,1076,Ponniyan Selvan- Volume 3,M Raja Ram,Adult Fiction
R-1-7,1055,Love Stories that touched my Heart,Ravinder Singh,Adult Fiction
R-1-7,495,Dork-The Incredible Adventures of Robin Einstein Kurien,sidin vadakut,Adult Fiction
R-1-7,1060,2 states- Story of my Marriage,Chetan Bhagat,Adult Fiction
R-1-7,1053,One Indian Girl,Chetan Bhagat,Adult Fiction
R-1-7,14,Half Girlfriend,Chetan Bhagat,Adult Fiction
R-1-7,727,Revolution 2020,Chetan Bhagat,Adult Fiction
R-1-7,1,Making India Awesome,Chetan Bhagat,Adult Fiction
R-1-7,487,The daughter from a wishing tree,Sudha Murthy,Adult Fiction
R-1-7,65,Five Point Someone,Chetan Bhagat,Adult Fiction
R-1-7,1424,The Forest of Enchantments,Chitra Banerjee Divakaruni,Adult Fiction
R-1-7,1069,The Mammaries of the Welfare state,Upamanyu Chatterjee,Adult Fiction
R-1-7,3102,The Girl in room 105,Chetan Bhagat,Adult Fiction
R-1-7,910,Life Over two Beers and other stories,Sanjeev Sanyal,Adult Fiction
R-1-7,1193,Scion of Ikshvaku,Amish,Adult Fiction
R-1-7,636,Will you still Love Me,Ravinder Singh,Adult Fiction
R-1-7,972,The Oath of Vayuputras,Amish,Adult Fiction
R-1-7,1419,The Henna Artist,Alka Joshi,Adult Fiction
R-1-7,966,The secret of the Nagas,Amish,Adult Fiction
R-1-7,3100,Murder in Paharganj,Kulpreet Yadav,Adult Fiction
R-1-7,686,Slum dog Millionaire,Vikas Swarup,Adult Fiction
R-1-7,584,Chanakya's Chant,Ashwin Sanghi,Adult Fiction
R-1-7,173,"Oh Shit, Not Again",Mandar Kokate,Adult Fiction
R-1-7,747,Keepers of the kalachakra,Ashwin Sanghi,Adult Fiction
R-1-7,763,No Path in Darjeeling is Straight,Parimal Bhattacharya,Adult Fiction
R-1-7,946,The Krishna Key,Ashwin Sanghi,Adult Fiction
R-1-7,1057,What Young India Wants,Chetan Bhagat,Adult Fiction
R-1-7,,,,Adult Fiction
R-1-7,,,,Adult Fiction
R-1-7,,,,Adult Fiction
R-1-7,,,,Adult Fiction
R-1-7,,,,Adult Fiction
R-1-8,450,A Passage to England,Nirad C Chaudhari,Adult Fiction
,684,Inscrutable Americans,Anurag Mathur,Adult Fiction
,1397,The Dark Holds No terror,Shashi deshpande,Adult Fiction
,326,Over a cup of Coffee,V N Kakar,Adult Fiction
,769,The Love Collections,Sneh Thakur,Adult Fiction
,768,The kept Women and Other stories,Kamala das,Adult Fiction
,50,This Love that feels Right,Ravinder Singh,Adult Fiction
,1131,Ladies Coupe,Anita Nair,Adult Fiction
,1398,Stories we never tell,Savi Sharma,Adult Fiction
,1396,Paddy Indian,Cauvery Madhavan,Adult Fiction
,1400,Those Pricey Thakur Girls,Anuja Chauhan,Adult Fiction
,1401,The House that BJ built,Anuja Chauhan,Adult Fiction
R-1-3,574,To Heaven and Back,Mary C Neal,Adult Fiction
,178,Children of Better God,sushmita Bagchi,Adult Fiction
,3105,The Messenger,Shiv Malik,Adult Fiction
,766,Speed Post,Shobha de,Adult Fiction
,3116,The Legend of Lakshmi Prasad,Twinkle Khanna,Adult Fiction
,1058,Ofcourse I love you,Durjoy Datta,Adult Fiction
,1317,One Small voice,Santanu Bhattacharya,Adult Fiction
,776,Happy Ending,Mohan Kumar Thangaraju,Adult Fiction
,1136,Bunker 13,Aniruddha Bahal,Adult Fiction
,819,A thousand Years of Pain,Moyeen VN,Adult Fiction
,1104,The End of Innocence,Moni Mohsin,Adult Fiction
,789,Shadow & Soul,Eisha Sarkar,Adult Fiction
